dataset,k,scenario,scenario_desc,method,pareto_points,min_risk,max_return,elapsed_sec
port1,8,base,No perturbation,weighted_sum,13,0.0006446292027934534,0.010826917000105685,2.7623379230499268
port1,8,base,No perturbation,epsilon_constraint,13,0.0007732587798019488,0.008758019289565863,16.717339992523193
port1,8,base,No perturbation,nsga2,60,0.0006784217269186552,0.008382188627949394,0.36489176750183105
port1,8,base,No perturbation,combined_pareto,70,0.0006446292027934534,0.010826917000105685,19.84456968307495
port1,8,mu_noise_10,mu + 10% std noise,weighted_sum,13,0.0006446292027934534,0.010572707155690078,3.364100933074951
port1,8,mu_noise_10,mu + 10% std noise,epsilon_constraint,13,0.0007732576175395231,0.008495292260876775,22.504807710647583
port1,8,mu_noise_10,mu + 10% std noise,nsga2,60,0.0007004381956315152,0.007914550254826002,0.3720076084136963
port1,8,mu_noise_10,mu + 10% std noise,combined_pareto,73,0.0006446292027934534,0.010572707155690078,26.24091625213623
port1,8,mu_noise_25,mu + 25% std noise,weighted_sum,13,0.0006446292027934534,0.010295853928713574,2.7910592555999756
port1,8,mu_noise_25,mu + 25% std noise,epsilon_constraint,13,0.0007732675065339158,0.008577303560897946,16.099602460861206
port1,8,mu_noise_25,mu + 25% std noise,nsga2,60,0.0006666894054351611,0.007275135482870674,0.3687455654144287
port1,8,mu_noise_25,mu + 25% std noise,combined_pareto,71,0.0006446292027934534,0.010295853928713574,19.25940728187561
port1,8,sigma_scale_080,Sigma * 0.80,weighted_sum,13,0.000515703362234763,0.010826917000105685,2.788357973098755
port1,8,sigma_scale_080,Sigma * 0.80,epsilon_constraint,13,0.0006186070238681017,0.008758019285528908,19.48598551750183
port1,8,sigma_scale_080,Sigma * 0.80,nsga2,60,0.0005471861708866683,0.008631375558060926,0.5831429958343506
port1,8,sigma_scale_080,Sigma * 0.80,combined_pareto,64,0.000515703362234763,0.010826917000105685,22.857486486434937
port1,8,sigma_scale_120,Sigma * 1.20,weighted_sum,13,0.0007735550433521443,0.010826917000105685,3.734869956970215
port1,8,sigma_scale_120,Sigma * 1.20,epsilon_constraint,13,0.0009279105358179545,0.00875801930105528,23.16604208946228
port1,8,sigma_scale_120,Sigma * 1.20,nsga2,60,0.0008173766426999438,0.008382885337047572,0.4776120185852051
port1,8,sigma_scale_120,Sigma * 1.20,combined_pareto,65,0.0007735550433521443,0.010826917000105685,27.3785240650177
port1,8,sigma_shrink_30,Sigma shrink-corr 30%,weighted_sum,12,0.0005185898234526794,0.01082691700010154,2.71106219291687
port1,8,sigma_shrink_30,Sigma shrink-corr 30%,epsilon_constraint,13,0.0006512682944150388,0.008644110239770263,23.42709732055664
port1,8,sigma_shrink_30,Sigma shrink-corr 30%,nsga2,60,0.000569442925891044,0.008627026799256749,0.506462574005127
port1,8,sigma_shrink_30,Sigma shrink-corr 30%,combined_pareto,67,0.0005185898234526794,0.01082691700010154,26.644622087478638
port4,8,base,No perturbation,weighted_sum,13,0.00014546584344403963,0.009179590999992987,2.838470458984375
port4,8,base,No perturbation,epsilon_constraint,13,0.00028217751873314763,0.008625815509712196,41.06087684631348
port4,8,base,No perturbation,nsga2,60,0.00017959956919313844,0.008224530042400688,0.6588451862335205
port4,8,base,No perturbation,combined_pareto,57,0.00014546584344403963,0.009179590999992987,44.55819249153137
port4,8,mu_noise_10,mu + 10% std noise,weighted_sum,13,0.00014546584344403963,0.009315590705377021,2.417139768600464
port4,8,mu_noise_10,mu + 10% std noise,epsilon_constraint,13,0.0002822171912540319,0.00856905871095819,41.446720600128174
port4,8,mu_noise_10,mu + 10% std noise,nsga2,60,0.00017120094284260384,0.007591210953117446,0.6138262748718262
port4,8,mu_noise_10,mu + 10% std noise,combined_pareto,61,0.00014546584344403963,0.009315590705377021,44.477686643600464
port4,8,mu_noise_25,mu + 25% std noise,weighted_sum,13,0.00014546584344403963,0.009261257376424364,2.764706611633301
port4,8,mu_noise_25,mu + 25% std noise,epsilon_constraint,13,0.0002821818862619082,0.00867394310407783,39.542020082473755
port4,8,mu_noise_25,mu + 25% std noise,nsga2,60,0.00019508297109593827,0.007609250607281374,0.6228451728820801
port4,8,mu_noise_25,mu + 25% std noise,combined_pareto,49,0.00014546584344403963,0.009261257376424364,42.929571866989136
port4,8,sigma_scale_080,Sigma * 0.80,weighted_sum,13,0.0001163726747552317,0.009179590999992987,2.8297252655029297
port4,8,sigma_scale_080,Sigma * 0.80,epsilon_constraint,13,0.00022574201490647885,0.0086258182775714,41.003321409225464
port4,8,sigma_scale_080,Sigma * 0.80,nsga2,59,0.0001476275638709962,0.008283800431950223,0.6870982646942139
port4,8,sigma_scale_080,Sigma * 0.80,combined_pareto,55,0.0001163726747552317,0.009179590999992987,44.52014493942261
port4,8,sigma_scale_120,Sigma * 1.20,weighted_sum,13,0.00017455901213284756,0.009179590999992987,2.542039394378662
port4,8,sigma_scale_120,Sigma * 1.20,epsilon_constraint,13,0.0003386130223322656,0.008625818875909635,40.48698091506958
port4,8,sigma_scale_120,Sigma * 1.20,nsga2,60,0.00022303295552500126,0.008231019413338102,0.5343701839447021
port4,8,sigma_scale_120,Sigma * 1.20,combined_pareto,49,0.00017455901213284756,0.009179590999992987,43.563390493392944
port4,8,sigma_shrink_30,Sigma shrink-corr 30%,weighted_sum,13,0.00013641397464149714,0.009179590999992987,2.1951675415039062
port4,8,sigma_shrink_30,Sigma shrink-corr 30%,epsilon_constraint,13,0.00024240961923927953,0.008755060740683187,36.42831635475159
port4,8,sigma_shrink_30,Sigma shrink-corr 30%,nsga2,59,0.00015260011442903813,0.008253007973570899,0.6537775993347168
port4,8,sigma_shrink_30,Sigma shrink-corr 30%,combined_pareto,59,0.00013641397464149714,0.009179590999992987,39.27726149559021
