dataset,n_assets,k,method,pareto_points,min_risk,max_return,elapsed_sec,output_subdir
port1,31,2,weighted_sum,12,0.000798768,0.01086125,0.590855122,port1_k2
port1,31,2,epsilon_constraint,13,0.000818551,0.010060135,1.425338745,port1_k2
port1,31,2,nsga2,70,0.000798734,0.010824005,0.557106018,port1_k2
port1,31,2,combined_pareto,92,0.000798734,0.01086125,2.573299885,port1_k2
port1,31,4,weighted_sum,13,0.000686096,0.010850631,1.733554125,port1_k4
port1,31,4,epsilon_constraint,15,0.000803936,0.009401559,21.43709731,port1_k4
port1,31,4,nsga2,70,0.000704497,0.009672848,0.855850458,port1_k4
port1,31,4,combined_pareto,93,0.000686096,0.010850631,24.02650189,port1_k4
port1,31,8,weighted_sum,15,0.000644629,0.010826917,6.364260674,port1_k8
port1,31,8,epsilon_constraint,15,0.00086363,0.009227872,36.77661324,port1_k8
port1,31,8,nsga2,70,0.000672359,0.007794021,1.110535383,port1_k8
port1,31,8,combined_pareto,88,0.000644629,0.010826917,44.25140929,port1_k8
port1,31,16,weighted_sum,15,0.000646346,0.010772564,10.75712419,port1_k16
port1,31,16,epsilon_constraint,15,0.000791093,0.008672654,72.29954672,port1_k16
port1,31,16,nsga2,70,0.000698906,0.007851474,1.71105504,port1_k16
port1,31,16,combined_pareto,73,0.000646346,0.010772564,84.76772594,port1_k16
port2,85,2,weighted_sum,15,0.000311977,0.009793032,1.478288651,port2_k2
port2,85,2,epsilon_constraint,12,0.000358791,0.009793032,3.080397844,port2_k2
port2,85,2,nsga2,69,0.00027367,0.009556317,1.029357195,port2_k2
port2,85,2,combined_pareto,90,0.00027367,0.009793032,5.58804369,port2_k2
port2,85,4,weighted_sum,15,0.000257788,0.009786491,1.958965302,port2_k4
port2,85,4,epsilon_constraint,15,0.000314066,0.009607471,11.82184982,port2_k4
port2,85,4,nsga2,69,0.000239987,0.00899249,1.181872845,port2_k4
port2,85,4,combined_pareto,84,0.000239987,0.009786491,14.96268797,port2_k4
port2,85,8,weighted_sum,14,0.000167479,0.009764517,3.409151316,port2_k8
port2,85,8,epsilon_constraint,15,0.000310431,0.009544528,26.40845037,port2_k8
port2,85,8,nsga2,70,0.000197971,0.008853776,1.396243572,port2_k8
port2,85,8,combined_pareto,69,0.000167479,0.009764517,31.21384525,port2_k8
port2,85,16,weighted_sum,15,0.000138112,0.009712529,12.73405623,port2_k16
port2,85,16,epsilon_constraint,15,0.000220149,0.009243627,95.63696432,port2_k16
port2,85,16,nsga2,70,0.000162867,0.006375311,2.003082275,port2_k16
port2,85,16,combined_pareto,78,0.000138112,0.009712529,110.3741028,port2_k16
port3,89,2,weighted_sum,11,0.000394087,0.008207655,1.239708424,port3_k2
port3,89,2,epsilon_constraint,12,0.000431306,0.008207655,3.052209616,port3_k2
port3,89,2,nsga2,70,0.000391287,0.008092578,1.040159464,port3_k2
port3,89,2,combined_pareto,78,0.000391287,0.008207655,5.332077503,port3_k2
port3,89,4,weighted_sum,11,0.000287816,0.008203276,2.111490726,port3_k4
port3,89,4,epsilon_constraint,15,0.000356365,0.008158159,29.50653458,port3_k4
port3,89,4,nsga2,70,0.000267974,0.007424788,1.163466215,port3_k4
port3,89,4,combined_pareto,82,0.000267974,0.008203276,32.78149152,port3_k4
port3,89,8,weighted_sum,15,0.000225549,0.008190906,7.413749695,port3_k8
port3,89,8,epsilon_constraint,15,0.000318222,0.007933187,56.54871488,port3_k8
port3,89,8,nsga2,69,0.000249299,0.006997779,1.394555807,port3_k8
port3,89,8,combined_pareto,75,0.000225549,0.008190906,65.35702038,port3_k8
port3,89,16,weighted_sum,14,0.000200476,0.008160745,18.72022891,port3_k16
port3,89,16,epsilon_constraint,15,0.000347131,0.007345902,104.6521609,port3_k16
port3,89,16,nsga2,60,0.000224708,0.005569925,1.921304226,port3_k16
port3,89,16,combined_pareto,62,0.000200476,0.008160745,125.293694,port3_k16
port4,98,2,weighted_sum,14,0.000317114,0.009194561,1.430696964,port4_k2
port4,98,2,epsilon_constraint,12,0.000524603,0.009194561,3.818618774,port4_k2
port4,98,2,nsga2,68,0.00032975,0.009147751,1.055140734,port4_k2
port4,98,2,combined_pareto,81,0.000317114,0.009194561,6.304456472,port4_k2
port4,98,4,weighted_sum,13,0.000199336,0.009191907,2.373435974,port4_k4
port4,98,4,epsilon_constraint,15,0.000313422,0.009098504,28.66109586,port4_k4
port4,98,4,nsga2,70,0.000218337,0.007831625,1.166192532,port4_k4
port4,98,4,combined_pareto,86,0.000199336,0.009191907,32.20072436,port4_k4
port4,98,8,weighted_sum,14,0.000146637,0.009179591,4.156147003,port4_k8
port4,98,8,epsilon_constraint,15,0.000268514,0.008870871,60.69513178,port4_k8
port4,98,8,nsga2,70,0.000173213,0.006063859,1.486516237,port4_k8
port4,98,8,combined_pareto,93,0.000146637,0.009179591,66.33779502,port4_k8
port4,98,16,weighted_sum,15,0.000126357,0.009143504,11.67637634,port4_k16
port4,98,16,epsilon_constraint,15,0.000232639,0.008498213,129.3441396,port4_k16
port4,98,16,nsga2,70,0.000153452,0.007757367,2.10445261,port4_k16
port4,98,16,combined_pareto,43,0.000126357,0.009143504,143.1249685,port4_k16
port5,225,2,weighted_sum,14,0.000563826,0.003970759,4.713897943,port5_k2
port5,225,2,epsilon_constraint,6,0.000620922,0.003970759,6.096560717,port5_k2
port5,225,2,nsga2,69,0.000459886,0.003560163,1.601425171,port5_k2
port5,225,2,combined_pareto,59,0.000459886,0.003970759,12.41188383,port5_k2
port5,225,4,weighted_sum,15,0.000339506,0.003969755,9.035276175,port5_k4
port5,225,4,epsilon_constraint,8,0.000557681,0.003969755,18.07811069,port5_k4
port5,225,4,nsga2,69,0.00038003,0.003632182,1.715044498,port5_k4
port5,225,4,combined_pareto,38,0.000339506,0.003969755,28.82843137,port5_k4
port5,225,8,weighted_sum,15,0.000311496,0.003966769,22.45475006,port5_k8
port5,225,8,epsilon_constraint,9,0.000594273,0.003966769,32.97983742,port5_k8
port5,225,8,nsga2,55,0.000400956,0.003359426,2.029133797,port5_k8
port5,225,8,combined_pareto,47,0.000311496,0.003966769,57.46372128,port5_k8
port5,225,16,weighted_sum,15,0.000305739,0.003952725,37.18935871,port5_k16
port5,225,16,epsilon_constraint,10,0.000535584,0.003952725,65.77159357,port5_k16
port5,225,16,nsga2,20,0.000417505,0.002171697,2.510224819,port5_k16
port5,225,16,combined_pareto,24,0.000305739,0.003952725,105.4711771,port5_k16
